,Url,photo
31,https://kino.mail.ru/cinema/movies/922514_palma/,https://resizer.mail.ru/p/900bfc1b-313c-56ab-b457-e2e84fa01dfc/AAACRhJTxrI7aOiKfkimjsrIv0W1TxCnHwFOHMpoCuiD3Im6knzoqAPeJyCfB8uWFt-dP3d1tZIIYnPt7W8wLUcklcA.jpg
32,https://kino.mail.ru/cinema/movies/928704_posle_glava_3/,https://resizer.mail.ru/p/a753a6c6-c4c2-56a5-ac69-6e200b6369a1/AQACVdKKfP0JcDBn04z72FEbbFsHaoxT5P2Kfe1MfPclUfy0vBeMQj6fRwIYjWXHt5eRi-dmabsuDhtkGbQ3hsghwPY.jpg
33,https://kino.mail.ru/cinema/movies/912269_lev/,https://resizer.mail.ru/p/1cb8b34d-0af2-5e3e-95b5-a2685f62c7e7/AAACqRNh8QSuvW6Mn0vwhKixjp_kHba7Y2Nc9NdsLXacsW00KKS-CtkRBUjwRQEpubVTvvQSIur35vr6TPBqI5XuSKw.jpg
34,https://kino.mail.ru/cinema/movies/793446_insurgent/,https://resizer.mail.ru/p/5618d95c-8354-53f5-9d62-e149b949db54/AAACLkq7GxUQSQ2pDbvFN_X15tzL2z4k9mHuzEXnYZfNs_dkFpGsGJdpno6oDJ9ny2ZAfNLYuv0wIArTmQB0mpoaaRM.jpg
35,https://kino.mail.ru/cinema/movies/884683_legendi/,https://resizer.mail.ru/p/c4bb870e-82ab-52dc-b2d6-68463c3f69d4/AAAC_IOCPrqoDEZ0I_ksJ-8FQ_J4kNZpQDb6P-_eztSIypzcWAk6L0ej6Gup5TIDFuNtEP8M4bxhy_nYFHc07egmg40.jpg
36,https://kino.mail.ru/cinema/movies/844674_drakoni/,https://resizer.mail.ru/p/5a39e14e-1dcd-5a1d-91b5-44e10732930c/AAAC9WzfCH1Oy5jft6PkSKFzJwtylGHoTRoqHcVf4T4D9GpEQkpEJJjtBBIhuXIbsts9xWeyc0-bOj_v3Q0Yqe2GsRY.jpg
37,https://kino.mail.ru/cinema/movies/514731_zakonoposlushnyj_grazhdanin/,https://resizer.mail.ru/p/6830d1de-e8a1-58b5-a52e-9f4a988c4cdd/AAACRYsMzbO0Koy_k3Y7KOt3BpdMGPfUKJm6k0JQTQGosJui-F0qmiRvX6PLzRvvoco3eD703B2ImoYK6c80dueNiJM.jpg
38,https://kino.mail.ru/cinema/movies/591702_brat_2/,https://resizer.mail.ru/p/5574f4b6-3a41-5965-9ac8-1f81aae93b81/AAACQ7MymDbP1y8yh7pO677OxSH6NGOk_VrPNmesWUMx64SwIwbaB9flAyLrlooEbl5zOPhGpbuAId7rmEb4TqX9-pg.jpg
39,https://kino.mail.ru/cinema/movies/487910_dostuchatsja_do_nebes/,https://resizer.mail.ru/p/4d866486-a3f6-5b35-8c57-b304d1712bd1/AQACMdh9g0rbpU8Bd1bU1SPFpiiHi8ruojjd8dPMUmEYAZ0mmDmvejFXR7EVj8SlDrI_6O2oXP66ymJGmw-0xstFCic.jpg
40,https://kino.mail.ru/cinema/movies/630200_terminator_2_sudnyj_den/,https://resizer.mail.ru/p/2a268b34-18f1-5a1a-852b-0a4fbf1e150c/AAAC5gCiAdPXfS7fzEcf3cq6Sfn1kP4K75JUbEITYvlMmHVOLzay6Z4JXGhDN-_MP75_omDRwkEHznjEsRApLp1mnU4.jpg
